ID,X_0,G_0,Y_0,S_0,Y_1,S_1,Y_2,S_2,Y_3,S_3,Y_4,S_4,Y_5,ff,A_0,A_1,A_2,A_3,A_4,A_5
1,0.513410696,0,1,1.045519536,1,1.11391699,0,NA,0,NA,0,NA,0,1,1,1,1,0,0,0
2,-0.934595629,0,1,-1.223538618,0,-1.849584496,0,0.453079486,0,0.191432922,0,-0.411864225,0,2,1,0,0,0,0,0
3,-1.213962116,0,1,-0.671535435,1,-2.035293032,0,-1.222585741,0,-2.549579864,0,-1.472938985,0,1,1,1,0,0,0,0
4,-1.368608484,1,1,0.236467296,1,0.458186676,1,1.000862829,0,NA,0,NA,0,1,1,1,1,1,0,0
5,1.382966653,1,1,0.692546254,0,0.108200601,0,1.700955665,0,NA,0,NA,0,2,1,0,0,0,0,0
6,1.466510421,1,1,0.02778197,1,0.922730543,1,1.327818417,0,NA,0,NA,0,1,1,1,1,1,0,0
7,0.55125215,1,1,-0.249549794,1,-1.87793777,1,-1.482112734,1,-1.869908812,1,1.11699977,1,1,1,1,1,1,1,1
8,-0.459516465,0,1,-1.258191756,1,-1.514333023,1,-2.811402352,1,-0.327384234,1,1.062090891,1,1,1,1,1,1,1,1
9,-0.738495231,0,1,1.670528632,0,NA,0,NA,0,NA,0,NA,0,1,1,1,0,0,0,0
10,0.436168514,1,1,1.334582374,1,-0.336912408,1,0.346240816,1,-1.084870845,1,-2.268302504,1,3,1,1,1,1,1,1
11,-0.420844293,0,1,-1.920560672,0,0.326902747,0,0.345458403,0,-0.062462111,0,-0.145862422,0,2,1,0,0,0,0,0
12,0.061370062,1,1,-0.537761743,1,-0.299236638,1,-1.008785501,1,-0.218424911,1,1.300422465,1,1,1,1,1,1,1,1
13,-2.100889868,1,1,-1.188651071,1,-2.339447387,1,-2.667214092,1,-2.043363232,1,-1.728524739,1,3,1,1,1,1,1,1
14,1.966589962,1,1,0.316599386,1,0.487004668,1,1.706061141,1,-0.040625223,1,0.361887231,1,1,1,1,1,1,1,1
15,0.590906993,0,1,0.917457242,1,0.05245584,1,-0.359414974,1,-2.579113955,1,-0.455488987,1,3,1,1,1,1,1,1
16,-0.092049387,0,1,-1.055664403,1,-2.234957711,1,-0.128817455,1,1.274364081,1,-1.079456868,1,3,1,1,1,1,1,1
17,-1.081564652,0,1,-0.07772368,1,-0.460592975,1,-0.084346904,1,-1.800546794,1,-1.222040859,1,1,1,1,1,1,1,1
18,0.911911353,1,1,-0.388182202,1,-2.122636996,1,1.095090104,1,0.482471496,1,-1.950379131,1,1,1,1,1,1,1,1
19,0.077170478,0,1,0.611305207,1,0.189487096,1,-1.032483497,1,-0.626238744,1,-0.553111046,1,2,1,1,1,1,1,1
20,1.018599617,0,1,0.903818008,0,NA,0,NA,0,NA,0,NA,0,3,1,1,0,0,0,0
21,-0.555512528,1,1,-2.316898405,1,-1.27829228,1,-1.166664523,1,-1.950051543,1,0.066751322,1,1,1,1,1,1,1,1
22,-1.918433256,0,1,-0.701521753,1,-0.987039922,1,-2.261195861,1,-2.362553512,1,-1.235058167,1,2,1,1,1,1,1,1
23,0.541656011,1,1,0.077050582,1,0.950239736,1,-0.003431618,1,0.540050358,1,0.577314631,1,1,1,1,1,1,1,1
24,-0.076331447,1,1,-1.247066135,1,-0.855588876,1,-0.138507627,1,-1.190811475,0,0.261490624,0,1,1,1,1,1,0,0
25,-0.735151784,0,1,0.187924438,1,-1.697563299,1,0.247215087,1,1.018812397,1,0.419246799,1,3,1,1,1,1,1,1
26,-1.357692833,0,1,-2.022666874,1,0.115868338,1,-2.366596199,1,-1.231736659,0,-0.004441576,0,3,1,1,1,1,0,0
27,-0.527518437,0,1,-1.243529594,1,-1.592827099,0,1.262633148,0,0.044184642,0,-0.939621896,0,2,1,1,0,0,0,0
28,0.562492212,0,1,1.610030473,1,-2.665987089,1,-0.409135733,1,1.995045451,0,NA,0,3,1,1,1,1,1,0
29,-1.629108719,0,1,-2.676002122,1,-1.173920838,1,-0.106871926,1,-0.258115485,1,-1.336638596,1,1,1,1,1,1,1,1
30,0.377768887,0,1,0.143861339,1,-0.643837549,1,-0.143230928,1,-0.124979094,1,1.548593126,0,3,1,1,1,1,1,1
31,0.853523918,0,1,-0.475078132,1,-0.905509583,1,1.702950396,0,NA,0,NA,0,2,1,1,1,1,0,0
32,2.143017087,1,1,0.513420044,1,0.586421678,1,2.08264254,0,NA,0,NA,0,3,1,1,1,1,0,0
33,2.082541512,0,1,2.453014121,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,0,0
34,0.420489041,1,1,0.331333491,1,-0.825403183,1,-2.557835832,1,0.497540038,1,0.412006966,1,1,1,1,1,1,1,1
35,-2.712269376,0,1,-0.328603278,1,-2.471423142,1,-2.281153505,1,-1.605969138,1,-0.398693387,1,3,1,1,1,1,1,1
36,0.888071457,0,1,1.319780981,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,0,0
37,-0.866270222,1,1,-0.381152567,1,-2.374297978,1,-1.998624863,1,-0.377714306,0,-2.888979821,0,3,1,1,1,1,0,0
